competitors_name,country,total,place,judging,finals,competition_type,competition,location,date,url,img_url
Heather Hei Man Kam,Hong Kong,9,3,9,,Women's Bikini,2024-musclecontest-japan-pro,"Kawasaki,Japan",2024-02-11,https://www.ifbbpro.com/competition/2024-musclecontest-japan-pro/,https://ifbbpro.com/wp-content/uploads/2024/02/2024japanPRO_021124_scorecardBIK-800x624.jpg
Ameera Klement,Germany,24,8,24,,Women's Bikini,2024-musclecontest-japan-pro,"Kawasaki,Japan",2024-02-11,https://www.ifbbpro.com/competition/2024-musclecontest-japan-pro/,https://ifbbpro.com/wp-content/uploads/2024/02/2024japanPRO_021124_scorecardBIK-800x624.jpg
Nittaya Kongthun,Thailand,4,1,4,,Women's Bikini,2024-musclecontest-japan-pro,"Kawasaki,Japan",2024-02-11,https://www.ifbbpro.com/competition/2024-musclecontest-japan-pro/,https://ifbbpro.com/wp-content/uploads/2024/02/2024japanPRO_021124_scorecardBIK-800x624.jpg
Pricila Rodrigues,Brazil,5,2,5,,Women's Bikini,2024-musclecontest-japan-pro,"Kawasaki,Japan",2024-02-11,https://www.ifbbpro.com/competition/2024-musclecontest-japan-pro/,https://ifbbpro.com/wp-content/uploads/2024/02/2024japanPRO_021124_scorecardBIK-800x624.jpg
Kana Suzuki,Japan,12,4,12,,Women's Bikini,2024-musclecontest-japan-pro,"Kawasaki,Japan",2024-02-11,https://www.ifbbpro.com/competition/2024-musclecontest-japan-pro/,https://ifbbpro.com/wp-content/uploads/2024/02/2024japanPRO_021124_scorecardBIK-800x624.jpg
Wendy Tsai,Taiwan,21,7,21,,Women's Bikini,2024-musclecontest-japan-pro,"Kawasaki,Japan",2024-02-11,https://www.ifbbpro.com/competition/2024-musclecontest-japan-pro/,https://ifbbpro.com/wp-content/uploads/2024/02/2024japanPRO_021124_scorecardBIK-800x624.jpg
Jiaqi Wei,China,15,5,15,,Women's Bikini,2024-musclecontest-japan-pro,"Kawasaki,Japan",2024-02-11,https://www.ifbbpro.com/competition/2024-musclecontest-japan-pro/,https://ifbbpro.com/wp-content/uploads/2024/02/2024japanPRO_021124_scorecardBIK-800x624.jpg
Hongmei Zhou,China,18,6,18,,Women's Bikini,2024-musclecontest-japan-pro,"Kawasaki,Japan",2024-02-11,https://www.ifbbpro.com/competition/2024-musclecontest-japan-pro/,https://ifbbpro.com/wp-content/uploads/2024/02/2024japanPRO_021124_scorecardBIK-800x624.jpg
Abdullah Al Salem,Kuwait,12,4,12,,Men's Physique,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Carlos Asiedu Ocran,China,3,1,3,,Men's Physique,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Ilya Kvashnin,Russia,24,8,24,,Men's Physique,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Khrisna Purnama Putra,Indonesia,6,2,6,,Men's Physique,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Yiming Wei,China,9,3,9,,Men's Physique,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Ren Yi Xie,China,18,6,18,,Men's Physique,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Han Yang,China,21,7,21,,Men's Physique,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Xingwang Yang,China,15,5,15,,Men's Physique,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Xinyi Chen,China,9,3,9,,Women's Bikini,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Heather Hei Man Kam,Hong Kong,6,2,6,,Women's Bikini,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Jiaqi Wei,China,3,1,3,,Women's Bikini,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Hongmei Zhou,China,12,4,12,,Women's Bikini,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Josue Fabiano,Brazil,15,3,15,,Men's Wheelchair,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard2-800x772.jpg
Harold Kelley,United States,20,4,20,,Men's Wheelchair,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard2-800x772.jpg
